Data;Tipo;Subtipo;Categoria;Item;Valor;Observação
01/01/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/02/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/03/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/04/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/05/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/06/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/07/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/08/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/09/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/10/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/11/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/12/2025;Receita;Receita com Prestação dos Serviços;Ato Cooperado;Rateio mensal;R$ 628.410,06;
01/01/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/02/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/03/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/04/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/05/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/06/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/07/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/08/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/09/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
01/10/2025;Receita;Receita com Livros;Ato Cooperado;Rateio mensal;R$ 0,00;
